Date,Product,Sales,Quantity,Region,Customer_Type
2024-01-01,Laptop,1200,2,North,Corporate
2024-01-02,Phone,800,5,South,Retail
2024-01-03,Tablet,600,3,East,Corporate
2024-01-04,Laptop,1200,1,West,Individual
2024-01-05,Phone,800,4,North,Retail
2024-01-06,Laptop,1200,3,South,Corporate
2024-01-07,Tablet,600,2,East,Individual
2024-01-08,Phone,800,6,West,Retail
2024-01-09,Laptop,1200,2,North,Corporate
2024-01-10,Monitor,450,1,South,Individual
2024-01-11,Phone,800,3,East,Corporate
2024-01-12,Laptop,1200,4,West,Retail
2024-01-13,Tablet,600,5,North,Individual
2024-01-14,Phone,800,2,South,Corporate
2024-01-15,Laptop,1200,1,East,Retail
2024-01-16,Monitor,450,2,West,Individual
2024-01-17,Tablet,600,3,North,Corporate
2024-01-18,Phone,800,4,South,Retail
2024-01-19,Laptop,1200,2,East,Individual
2024-01-20,Monitor,450,1,West,Corporate
2024-01-21,Phone,800,5,North,Retail
2024-01-22,Laptop,1200,3,South,Individual
2024-01-23,Tablet,600,2,East,Corporate
2024-01-24,Phone,800,6,West,Retail
2024-01-25,Laptop,1200,1,North,Corporate
2024-01-26,Monitor,450,4,South,Individual
2024-01-27,Tablet,600,3,East,Retail
2024-01-28,Phone,800,2,West,Corporate
2024-01-29,Laptop,1200,5,North,Individual
2024-01-30,Monitor,450,1,South,Retail
